AB膠	abbh
ABC	abc
AB制	abhn
AA膠	aabh
AA制	aahn
A4紙	avp
A貨	aoc
A咖	arr
A圈兒	awuhu
A咖	arr
AK	ak
AK47	ak
A-math	amath
AO	ao
A片	aln
ACO	aco
ATM	atm
AV	av
AV女優	avvoe
AV女郎	avvil
AV	av
AV女優	avvoe
A站	ayr
A仔	aod
A準	aej
A字膊	ajdbi
A鐘	acg
an機	andi
all-back	allback
bar-king	barking
Bang一聲	bangmgj
baby-fat	babyfat
Benz	benz
Ben士	benjm
Ben屎	bensd
Band仔	bandod
bet-bet	betbet
bet-bet	betbet
bell開	bellat
bel開	belat
BB	bb
bi-bi-ba-ba	bibibaba
BB彈	bbnj
BBA	bba
BB機	bbdi
BBQ	bbq
bibu車	bibujj
B超	bgr
B型超聲	bmggrgj
B哩吧啦	brgrurt
嗶哩嗶哩	bili
BT	bt
B站	byr
B仔	bod
B仔水	bode
BB	bb
BB車	bbjj
BB牀	bbvd
BB櫈	bbdn
BB骨	bbbb
BB衫	bblh
BB話	bbyr
BB仔	bbod
BB	bb
body-check	bodycheck
body-massage	bodymassage
boxing油	boxingew
Board-game	boardgame
Bu你阿麼	buofnrii
bu你阿麼	buofnrii
boo-jark	boojark
book機票	bookdimf
book唔到位	bookxrmnot
book位	bookot
book酒店	bookewir
boot機	bootdi
cha-cha	chacha
chup一聲	chupmgj
check-out	checkout
check下	checkmy
check-in	checkin
CLS	cls
cik-caat	cikcaat
cik-caat	cikcaat
cheap到痺	cheapmnkj
cheap嘢	cheaprn
cheap精	cheapfb
chalk粉	chalkfh
chok-cheat	chokcheat
chok樣	chokde
common-sense	commonsense
cut線	cutve
café	caf
claim保險	claimodno
cam帶	camkb
camp-camp-哋	campcamprd
cam鍊	camcf
cam鏈	camcj
claim稅	claimhu
cap帽	caplu
cap水	cape
click入去	clickohgi
cue卡	cueyy
cue咭	cuerr
cute-cute	cutecute
Call	call
call白車	callhajj
call機	calldi
Call台	callir
call台	callir
Call鐘	callcg
Cool	cool
CIB	cib
CID	cid
C疊	cwm
CLS	cls
C6	c
C9	c
C眼	cbv
C盤	cht
CCTV	cctv
CV	cv
down機	downdi
dum雞	dumbg
dup車	dupjj
day-one	dayone
D場	dgh
DD	dd
DNA	dna
DNA鑒定	dnascjo
DQ	dq
DC9	dc
DT	dt
DVD	dvd
DJ	dj
Dee	dee
di-di-de-de	dididede
DD	dd
due時	dueai
dur皮	durde
Do	do
Do嘢	dorn
er都冇得er	erjlxbhier
e都冇得e	ejlxbhie
E仔	eod
E沖C	eelc
EO	eo
EVA膠	evabh
E仔	eod
er都冇得er	erjlxbhier
FF	ff
foul出局	fouluusr
Face	face
Fact-check	factcheck
fax機	faxdi
Friend	friend
Friend過打band	friendyrqnband
friend過打band	friendyrqnband
friend過夾band	friendyrkoband
Fan屎	fansd
fan屎	fansd
free-size	freesize
free晒士	freeawjm
Fi-li-fe-le	filifele
fi-li-fe-le	filifele
fi-li-fe-le	filifele
Fik	fik
Fing	fing
Fing霸	fingmb
Fing頭場	fingmcgh
Fing頭丸	fingmcki
fit到漏油	fitmnebew
fit到漏油	fitmnebew
Feel	feel
guard臭	guardhk
Gut屎	gutsd
gas爐	gasft
gap汁	gapej
gap-gap聲	gapgapgj
get到	getmn
GB	gb
GiB	gib
Gurkha	gurkha
Gurkha兵	gurkhaoc
goet-goet聲	goetgoetgj
Google鼻	googlehl
grant-loan	grantloan
grant-loan	grantloan
gel頭雀	gelmcfg
G點	gwr
G弦褲	gnilj
GPS	gps
GG	gg
gym房	gymis
H股	hbe
H漫	hee
High	high
high大咗	highkrm
hi-fi	hifi
high卡士	highyyjm
high-tech	hightech
high-tea	hightea
hum-hum聲	humhumgj
He	he
hang機	hangdi
Hap唔Happy呀	hapxrhappyrh
Hap唔Happy呀	hapxrhappyrh
Happy	happy
hee-hee-hur-hur	heeheehurhur
II	ii
ID	id
IDD	idd
i雞寶	ibgjc
IQ	iq
IQ題	iqac
IP	ip
IT	it
IT狗	itkr
In	in
in-charge	incharge
Inc	inc
Inch	inch
In咗	inrm
Isuzu	isuzu
J	j
J圖	jww
JJ	jj
Jam嘢	jamrn
jam嘢	jamrn
jeep仔	jeepod
jer-jer	jerjer
jer住	jerog
jer-jer	jerjer
Kind	kind
kai子	kaind
Ke	ke
K金	kc
K	k
K壓	kmg
K巴	kau
KB	kb
K場	kgh
K粉	kfh
K房	kis
K金	kc
K歌	kmo
K客	kjr
K-car	kcar
KO	ko
KOL	kol
K書	kla
K他命	kodol
K仔	kod
kem-kem哋	kemkemrd
kel-lel	kellel
Keeper	keeper
keep住	keepog
L	l
last-day	lastday
lai-lai閒	lailaiab
Like	like
Like	like
lump-sum	lumpsum
LM	lm
Le-hea	lehea
Le-fe	lefe
lag機	lagdi
LAN線	lanve
Lui低	luioi
lag機	lagdi
lin頭	linmc
lur飯應	luroeip
lur口水講過	lurreybyr
long-d	longd
lin的	linhi
lin好大	linvdk
lin頭	linmc
lin頭硬	linmcmk
M	m
MB	mb
MBA	mba
M到	mmn
M巾	mlb
M記	myu
M-come	mcome
MK	mk
MK車	mkjj
MK名	mknr
MK妹	mkvd
MK頭	mkmc
MK仔	mkod
M痛	mkb
MV	mv
M字額	mjdjc
Mind	mind
Mark出街	markuuhn
mark出街	markuuhn
mark低	markoi
Mark哥褸	markmrlv
mark實	markjc
mark住	markog
mum-mum	mummum
MB	mb
MiB	mib
MB	mb
MiB	mib
mag仔	magod
Miss	miss
Missy	missy
mon貼	monbr
Mood	mood
N	n
N車	njj
N年	noq
N耐	nmi
N線	nve
NG	ng
No-1	no
NICAM	nicam
now攪	nowqu
